x_float,tanh_ref,pwl_liu,pwl_v2,ae_liu,ae_v2
-2.878906,-0.993704,-1.000000,-0.859863,0.006296,0.133841
-2.875000,-0.993655,-1.000000,-0.859375,0.006345,0.134280
-2.871094,-0.993605,-1.000000,-0.858887,0.006395,0.134718
-2.867188,-0.993555,-1.000000,-0.858398,0.006445,0.135157
-2.863281,-0.993505,-1.000000,-0.857910,0.006495,0.135594
-2.859375,-0.993454,-1.000000,-0.857422,0.006546,0.136032
-2.855469,-0.993403,-1.000000,-0.856934,0.006597,0.136469
-2.851562,-0.993351,-1.000000,-0.856445,0.006649,0.136906
-2.847656,-0.993299,-1.000000,-0.855957,0.006701,0.137342
-2.843750,-0.993247,-1.000000,-0.855469,0.006753,0.137778
-2.839844,-0.993194,-1.000000,-0.854980,0.006806,0.138214
-2.835938,-0.993141,-1.000000,-0.854492,0.006859,0.138649
-2.832031,-0.993087,-1.000000,-0.854004,0.006913,0.139083
-2.828125,-0.993033,-1.000000,-0.853516,0.006967,0.139518
-2.824219,-0.992979,-1.000000,-0.853027,0.007021,0.139951
-2.820312,-0.992924,-1.000000,-0.852539,0.007076,0.140385
-2.816406,-0.992869,-1.000000,-0.852051,0.007131,0.140818
-2.812500,-0.992813,-1.000000,-0.851562,0.007187,0.141250
-2.808594,-0.992757,-1.000000,-0.851074,0.007243,0.141682
-2.804688,-0.992700,-1.000000,-0.850586,0.007300,0.142114
-2.800781,-0.992643,-1.000000,-0.850098,0.007357,0.142545
-2.796875,-0.992585,-1.000000,-0.849609,0.007415,0.142976
-2.792969,-0.992528,-1.000000,-0.849121,0.007472,0.143406
-2.789062,-0.992469,-1.000000,-0.848633,0.007531,0.143836
-2.785156,-0.992410,-1.000000,-0.848145,0.007590,0.144266
-2.781250,-0.992351,-1.000000,-0.847656,0.007649,0.144695
-2.777344,-0.992291,-1.000000,-0.847168,0.007709,0.145123
-2.773438,-0.992231,-1.000000,-0.846680,0.007769,0.145551
-2.769531,-0.992170,-1.000000,-0.846191,0.007830,0.145979
-2.765625,-0.992109,-1.000000,-0.845703,0.007891,0.146406
-2.761719,-0.992048,-1.000000,-0.845215,0.007952,0.146833
-2.757812,-0.991985,-1.000000,-0.844727,0.008015,0.147259
-2.753906,-0.991923,-1.000000,-0.844238,0.008077,0.147685
-2.750000,-0.991860,-1.000000,-0.843750,0.008140,0.148110
-2.746094,-0.991796,-1.000000,-0.843262,0.008204,0.148534
-2.742188,-0.991732,-1.000000,-0.842773,0.008268,0.148959
-2.738281,-0.991667,-1.000000,-0.842285,0.008333,0.149382
-2.734375,-0.991602,-1.000000,-0.841797,0.008398,0.149806
-2.730469,-0.991537,-1.000000,-0.841309,0.008463,0.150228
-2.726562,-0.991471,-1.000000,-0.840820,0.008529,0.150650
-2.722656,-0.991404,-1.000000,-0.840332,0.008596,0.151072
-2.718750,-0.991337,-1.000000,-0.839844,0.008663,0.151493
-2.714844,-0.991269,-1.000000,-0.839355,0.008731,0.151914
-2.710938,-0.991201,-1.000000,-0.838867,0.008799,0.152334
-2.707031,-0.991132,-1.000000,-0.838379,0.008868,0.152754
-2.703125,-0.991063,-1.000000,-0.837891,0.008937,0.153173
-2.699219,-0.990993,-1.000000,-0.837402,0.009007,0.153591
-2.695312,-0.990923,-1.000000,-0.836914,0.009077,0.154009
-2.691406,-0.990852,-1.000000,-0.836426,0.009148,0.154426
-2.687500,-0.990781,-1.000000,-0.835938,0.009219,0.154843
-2.683594,-0.990709,-1.000000,-0.835449,0.009291,0.155260
-2.679688,-0.990636,-1.000000,-0.834961,0.009364,0.155675
